  years of   study in 2017 E.C,Academic program (Bsc),Age,Could you briefly share In what ways have these experiences shaped your academic choices and career development? ,Sum of Cumulative GPA,Do you want to participate in the research interview?,Fields,Gender,Have you participated in any of the following exposure experiences? (Select all that apply),Sum of How have Career fairs exposure influenced your career choices? ,Sum of How have Family influenced your career choices? ,Sum of How have Friends influenced your career choices? ,Sum of How have Internships exposure influenced your career choices?,Sum of How have Job shadowing exposure influenced your career choices?,Sum of How have Mentorship programs exposure influenced your career choices?,Sum of How have University coursework exposure influenced your career choices? ,Sum of How often do you use the career guidance services offered by the university?,Sum of How satisfied are you with the career guidance services provided by the university?,I picked my academic program primarily because of my grades,Language,Study_Category,Sum of To what extent do you feel that your exposure experiences have provided a clear sense of direction for your career?,What additional types of exposure experiences do you think the university should offer to better support students' career development?,What additional types of exposure experiences do you think the university should offer to better support students' career development?.1,What improvements would you suggest for the university’s career guidance services?,Which University are you enrolled in?
5,SE,21-23,"My friends have played a significant role in shaping my academic and career choices. Many of them were pursuing careers in engineering and technology, which inspired me to explore these fields. Their support and insights guided me toward my degree in Industrial Automation and my decision to specialize in software engineering. Additionally, some friends working in the automotive and electric vehicle industry encouraged me to pursue EV maintenance and GPS installation, fields where I've been able to grow professionally. This collaborative environment has pushed me to continuously learn and develop new skills.",3.40,Yes,STEM,Male,"Mentorship programs, Career fairs, Searching professionals through social networks",4,5,5,2,4,1,2,3,1,Yes,English,Upper,1,"Hosting more frequent workshops on soft skills, networking strategies, and freelance opportunities could better prepare students for diverse career paths. And establishing stronger partnerships with companies for internships and job placements would help bridge the gap between education and employment.""",No response,"The university's career guidance services could benefit from more personalized and industry-specific counseling. For instance, offering one-on-one mentorship programs with professionals in various fields. Additionally, hosting more frequent workshops on soft skills, networking strategies, and freelance opportunities could better prepare students for diverse career paths. Lastly, establishing stronger partnerships with companies for internships and job placements would help bridge the gap between education and employment.",AASTU
5,SE,21-23,"My internship has helped me decide that I would like to participate at the forefront of development or operations, instead of working with RFPs.",3.20,No,STEM,Male,Internships,1,2,1,3,1,1,1,2,2,No,English,Upper,3,No response,No response,nothing else,AAU
5,SE,21-23,"My personal research influenced my career choice for the most part. Because I know my strength and weaknesses, I focused on how to get those traits to my advantage. Asside from my research, family and friends helped me to get my strength and weaknesses. University courses, helped me to narrow down my focus, to prioritise.",3.30,Yes,STEM,Female,InternshipsSearching professionals through social networks,4,4,3,3,2,4,4,4,2,No,English,Upper,4,No response,No response,To be wholesome.,AASTU
5,SE,21-23,"My university coursework has provided me with the technical foundation and critical thinking skills essential for my career. Interacting with friends and family has offered valuable support and perspectives, helping me stay motivated. The internship experience helped me apply theoretical knowledge to real-world projects, like developing a feedback system and learning the MERN stack. Career fairs introduced me to potential employers and networking opportunities. The mentorship program has provided guidance and insights into industry practices, and job shadowing allowed me to observe professionals in action, shaping my career aspirations and decisions.",3.46,No,STEM,Male,InternshipsParty organizer,2,4,5,4,3,4,3,3,3,Yes,English,Upper,4,"The university could offer more hands-on experiences like Industry-specific project work, guest lectures from professionals, job shadowing, and real-world case studies. These would help students gain practical skills, network, and better understand their future career roles.",No response,"I suggest improving the university's career guidance by offering more internship and job placements, hosting skill-building workshops, expanding mentorship programs, increasing networking events, and providing resources for exploring diverse career paths.",Haramaya University
5,SE,21-23,"People around me are moderately competitive, and it is my choice.",3.70,No,STEM,Male,Internships,1,2,2,4,3,3,4,3,3,Yes,Amharic,Upper,4,Mainly quality education is mainly quality. It is also good to help the course of education,No response,I have no idea,BahirDar University
5,SE,21-23,Problem solving and technical anlysisi,2.70,Yes,STEM,Male,"InternshipsJob shadowing, Mentorship programs",4,2,2,5,4,4,3,4,3,No,English,Upper,4,Paractical and real world,Paractical and real world,Technology news and magzines,AAU
5,SE,21-23,since I know at programing it capture my heart it was on corona time I was highschool student so I decided when I join university I have to join software enginnering,2.70,No,STEM,Female,Internships,2,5,4,4,3,5,1,2,1,No,English,Upper,3,No response,No response,creating new policy and make the course more engaging way....have lab class and focus on practical things and skills,AASTU
5,SE,21-23,These experiences made me solve real world problems,3.40,No,STEM,Female,InternshipsMentorship programs,4,1,3,5,3,5,3,2,1,No,English,Upper,3,Experience sharing,No response,I have never see university career guidance service in my university,AASTU
5,SE,21-23,these kind of opportunities gave me the skillset that makes me a good candidate when it comes to other internship and job opportunites. It allows me to apply what i have learned in to real world projects.,3.60,No,STEM,Female,"InternshipsMentorship programs, Searching professionals through social networks",4,3,4,5,4,5,4,3,3,No,English,Upper,5,No response,No response,to be more related with how companies run and expect their employess to be.,AASTU
5,SE,21-23,"University coursework has built my foundational skills and knowledge, shaping my areas of interest and influencing the technical direction of my career.",3.70,No,STEM,Male,"Career fairs, University coursework related to career development, Searching professionals through social networks",4,4,4,1,1,1,4,3,2,No,English,Upper,3,"The university should offer hands-on projects, networking events with industry professionals, and international internship opportunities to enhance students' career development.","The university should offer hands-on projects, networking events with industry professionals, and international internship opportunities to enhance students' career development.","Provide more personalized guidance, industry-specific mentorship, and expanded internship opportunities to better prepare students for their careers.",AASTU
5,SE,21-23,"When I take university course works, and mentorship programs based on my career program I know that I'm sure I'll continue with the software career. Then I get an internship when I was No responserd year and it gives me a lot of experiences for me.",3.10,Yes,STEM,Female,"InternshipsMentorship programs, University coursework related to career development",2,2,3,4,4,3,2,4,4,Yes,Amharic,Upper,5,No response,No response,"It good so far, there are a lot of clubs there and I appreciate all the efforts.",AASTU
5,SE,24-26,"Building relationships with professionals in my field opened doors to opportunities and mentorship, shaping my career aspirations and guiding my academic path.",3.80,Yes,STEM,Male,Internships,2,1,5,3,3,1,2,1,4,No,English,Upper,3,Mentorship,No response,"Enhance partnerships with local businesses and organizations to create more internship and job placement opportunities, including co-op programs",Haramaya University
5,SE,24-26,"From a young age, I aspired to become a software engineer, even though I didn’t have the opportunity to study software or computers earlier. This passion has driven me to seize the chance to learn programming now, despite starting from scratch. The experience has shaped my academic choices by reinforcing my determination to focus on technology and software development, and it continues to inspire me to work hard toward building a meaningful career in this field.",3.20,Yes,STEM,Male,"InternshipsUniversity coursework related to career development, Searching professionals through social networks",5,3,4,5,4,5,4,3,3,No,English,Upper,5,"To better support students' career development, the university should offer more internships, job shadowing opportunities, and collaborations with industry partners. Organizing regular career fairs and networking events would connect students with potential employers. Additionally, introducing hands-on workshops, mentorship programs, and project-based learning in partnership with businesses can help students gain practical skills. Exposure to real-world challenges through hackathons, inNo responsevation labs, and community projects would also prepare students for their careers. Finally, hosting alumni panels to share experiences and insights would be valuable for career exploration.",No response,"The university’s career guidance services could benefit from becoming more active and consistent. Currently, the services provide only two training sessions a year, which is insufficient, especially for graduating students like me who need comprehensive support to prepare for life after university. I would suggest increasing the frequency of training sessions, offering personalized career counseling, and organizing workshops or networking events with industry professionals to better equip students for their future careers.",ASTU
5,SE,24-26,"I have been to some internship programs remotely and also locally, i gained valuable skills during the internship program",3.70,No,STEM,Male,Internships,1,3,4,3,1,1,3,1,1,No,English,Upper,3,I think it's better for the university to organize various communities in different fields in order to guide students in their career path,No response,In our university there is no such thing that is called career guidance service,Haramaya University
5,SE,24-26,"My academic choices have provided me with a strong theoretical foundation and opened up opportunities to explore various career paths I hadn't previously considered. These experiences have expanded my understanding of different fields and allowed me to make more informed decisions about my future. Additionally, my internship at Afronex Tech Hub gave me hands-on experience in web development, enhancing my practical skills and further shaping my career direction. It also allowed me to collaborate on projects that align with my interests in technology and innovation, which continues to influence my career development.",3.02,No,STEM,Male,Internships,2,4,5,4,5,4,3,3,3,No,English,Upper,3,No response,No response,"The university’s career guidance services could benefit from several improvements. First, they need to be more engaging and attractive to students, offering tailored guidance that connects academic choices to real-world career opportunities. Incorporating interactive workshops, mentorship programs, and industry partnerships would enhance their appeal. Additionally, offering more personalized career counseling based on individual strengths and aspirations would make the services more effective. The guidance services should also focus on providing up-to-date job market insights and helping students build relevant skills through internships, networking opportunities, and practical experiences.",ASTU
5,SE,24-26,No responset that match! I got few internship exposures and they aren't satisfactory  because  they don't care about the interns and they also didn't offer much guidance on technical and non technical issues,3.70,Yes,STEM,Male,Internships,1,1,2,2,2,1,3,1,1,No,English,Upper,3,I suggest university's to offer experience exchange opportunities.,No response,"I am a software engineering student, In my field I suggest the university's to offer students with latest technologies that are requested by companies.",Haramaya University
5,SE,24-26,problem solving and anlytical thingking,2.80,Yes,STEM,Male,InternshipsUniversity coursework related to career development,5,4,2,5,5,4,4,4,4,No,English,Upper,4,guidance and mentorship,guidance and mentorship,to renew thier course based on upcoming technology and based on reality job,AAU
5,Software,21-23,Studying,3.40,Yes,STEM,Male,Internships,3,4,4,4,3,3,3,3,2,Yes,English,Upper,3,Critical Thinkinh,No response,Documented Guidance,Haramaya University
5,Software Engineerging,21-23,first when i joined university i have like three choices of career fields in mind and at the second semester i joined computer science club in my university that is how i choice my current field,3.50,Yes,STEM,Male,InternshipsUniversity coursework related to career development,1,1,1,4,5,4,1,1,1,Yes,English,Upper,4,real world project with senior experts,No response,their is no career guidance in my university rather than their is other communities like EDC or derja,ASTU
5,Software Engineerign,24-26,The interest to learn programming and to solvr complex problems,3.45,Yes,STEM,Female,InternshipsMentorship programs,4,3,4,4,4,3,3,4,3,No,English,Upper,4,Nio,No response,to add use full courses in the curiculum,Arba Minch University
5,Software Engineering,21-23,"My career development was influenced by internship because I get hands on experience  from people who have skill ,knowledge and actual  knowledge in software development specially in mobile application development. I meet with people who have experience in the industry and learned a lot from them.",3.28,No,STEM,Male,Internships,1,4,1,2,1,2,2,1,1,Yes,English,Upper,2,More workshop with bboth sucesfull and No responset successfull people on their respective carrer,No response,"I think they can bring more experienced people and give seminars,workshops rather than just giving counsellling and i dont think they provide enough information on the downside of a career so anyonne who wants to join should know all about a career and if they can be more transparent and give information not only on a career but also on the  educational experence of students persuing that career on the university.",AASTU
5,SWE,21-23,I had exprienced from prior experience,3.50,Yes,Other,Male,InternshipsUniversity coursework related to career development,4,3,5,5,3,1,2,4,4,Yes,English,Upper,5,No response ANo responsether,No response,do a best,Haramaya University
5,Textile,21-23,My FIEL helped me to get better because I left internship,3.50,Yes,Other,Female,"InternshipsMentorship programs, Searching professionals through social networks",1,2,1,3,1,4,2,4,3,No,Amharic,Upper,4,"In addition to the lesson, what training is in the work world","In addition to the lesson, what training is in the work world",If it focuses on functioning,Wachemo University
6,MD,24-26,"Family has always been the decision maker in career choices specially for the first degree, at least for my case.",3.30,Yes,Other,Female,Internships,3,5,4,3,3,3,3,1,1,Yes,English,Upper,3,No response,No response,To brainstorm the career paths and to incorporate those in the learning process.,St. Paul Hospital Millennium Medical College
6,Veterinary,24-26,I precevied it well,3.30,Yes,Health & Medicine,Male,"University coursework related to career development,",3,5,4,4,4,4,4,4,4,Yes,Amharic,Upper,4,practical,practical,If they teach about how to apply for scholarship,Hawassa University
Grade 11,High school Junior,Under 18,"Being a member of the coding and robotics clubs at my school had an influential effect on my academic choices and career goals. I knew, through learning by doing projects, that I really like dealing with technology and troubleshooting, so I continued with programming, electronics, and engineering concepts outside the classroom. Constructing robots and doing Arduino for science fairs have allowed me to gain much-needed critical thinking and collaboration skills, making me a more assured individual in my goal of pursuing a career in a field related to technology. These experiences also encouraged me to pursue opportunities such as internships and competitions in order to learn and advance the skills necessary for the future.",3.50,Yes,Other,Male,Robotics and Coding club,1,1,1,1,1,1,1,1,1,Yes,English,Graduated,1,"I am No responsew a student in high school and I am quite active in robotics and coding clubs. I strongly believe that universities should offer students hands-on experiences as they tend to learn better that way. Here in my school, I have performed co-worked on projects of building robots, using ArduiNo response for science and other fairs, which sharpened my skills. How universities can really help students is through mentorship programs, workshops, and hackathons organized by them. I mean events, really, which could put one in touch with some experts and even real practical attempts. Such opportunities could prepare students like me for real-world experiences, developing existing confidence to entry into their techNo responselogies in the first place. 

Universities can play a very crucial role in the life of students by organizing various mentoring programs, workshops, and hackathons. Such events would organize resourceful experts into one platform to provide real practical solutions for problems. These opportunities can prepare students like me about how it would feel in the outside world, gaining confidence to step into their careers in techNo responselogy.",No response,I can’t say anything about this since I am still in high school.,Haile-Manas Academy
Grade 11,High School Student,Under 18,"I believe that my family and friends have shaped the person I am today. My brother, starting from my elementary school time, helped me in math, physics, chemistry, and ICT subjects, which made me more interested in those subjects. Even after I joined high school, those subjects are the ones that I have been working on to help the community around me. My friend has also shaped the way I think and the subjects I would prefer. Whenever we meet, we always talk about technology-related things, which made me be interested in computer science. The programs that I have been participating in have also shaped the person I am today. Those programs made me be interested in helping the community rather than just thinking about myself. Overall, the things that I do and the people I meet daily have shaped my perspective.",3.50,Yes,Other,Male,Research program,1,5,5,1,1,1,1,5,5,Yes,English,Graduated,5,"I think it would be better if the university allowed students to be part of community service programs, which would expose students to participating and communicating with the community, at the same time helping different communities.",No response,"Everything that is being done to help us choose the best career for us is amazing. An additional thing that I would suggest is, if they closely work with every one of us, instead of just simply telling us what to do in general. If they were specific for each one of us, every person would be able to follow the right career path.",Haile-Manas Academy
Grade 11,IB Diploma,Under 18,Exposure to AP Calculus BC has developed my dream in studying in STEM field and participating in mentorship prorams such as HundDRED program has allowed me to view science and technology as means to serve the community and others.,4.00,No,Other,Male,"InternshipsJob shadowing, Mentorship programs, Career fairs, Searching professionals through social networks",3,5,4,4,4,3,4,3,3,No,English,Graduated,3,"Career fairs, webinar, online meetings, coffee-chat",No response,Can better improved through connections with companies for students to have real life internship opportunities before graduating school.,International Community School of Addis Ababa
Grade 11,Junior,Under 18,"Though I have not yet had exposure to internships, job shadowing, mentorship programs, career fairs, or direct family and friend influence, some of these opportunities are exactly what I am seeking to help shape my academic and professional journey. My academic choices have been driven by my passion for cybersecurity and technology, and I am now eager to gain real-world exposure through internships, mentorship, and networking. I see these future experiences as crucial stepping stones to refine my career path, expand my skills, and ultimately shape my professional development.",4.00,Yes,Other,Male,"Clubs, service learning programs, summer programs, researches",1,1,1,1,1,1,1,1,1,No,English,Graduated,1,"To better support students’ career development, I believe the university could provide more opportunities for hands-on experiences such as internships, job shadowing, and mentorship programs. Additionally, organizing career fairs, offering guest lectures from industry professionals, and creating more practical workshops would help students build valuable networks and gain industry insights. These types of exposure would allow students to No responset only gain clarity on their career paths but also to start building the necessary skills and connections for success in their chosen fields.",No response,"Since I have not yet had the opportunity to use the career guidance services, I cannot speak to their effectiveness or offer specific suggestions. However, I would recommend that the university consider offering more proactive and accessible career guidance resources, such as one-on-one mentorship opportunities, career workshops, and personalized counseling. These services would significantly benefit students by helping them navigate career choices and connect with potential employers.",Haile-Manas Academy
Grade 11,Studnet in Natural Science stream,Under 18,"My friends has shaped the academic choices I made since I have been studying with and learning from my friends throughout my life. My passion for technology and engineering is also influenced largely by my friends as we have been discussing over it for a while. I also have done some robotics projects with my friends which made me more immersed in this field. Additionally, the mentorship program about the basics of robotics from an international company called YTC(youth technology corps) influenced my interest in robotics. This mentorship helped me build a strong base for my future endeavor in relation to technology and robotics.",4.00,Yes,Other,Male,"Mentorship programs, Clubs and community service activities",1,3,5,1,2,5,1,4,4,Yes,English,Graduated,5,No response,No response,"I don’t actually study in a university. But, we have college counselors in my school. I am satisfied by how they guide us. I would just appreciate it more if they give us more personal advice on what we have to improve to be successful.",Haile-Manas Academy
Graduated,Accounting and Finance,24-26,Moderate,3.30,Yes,Business & Economics,Male,Internships,4,3,3,1,2,3,5,3,3,Yes,English,Graduated,4,Extremely,Extremely,Satisfied,Haramaya University
Graduated,Accounting and Finance,27 and above,It has nothing,3.20,Yes,Business & Economics,Male,No,1,1,1,1,2,1,1,4,4,Yes,Amharic,Graduated,4,to learn,to learn,It's cool,Rift Valley University
Graduated,Agricultural Economics,21-23,"No response I could, I have share my experiences through many possible ways",3.80,Yes,STEM,Male,"InternshipsMentorship programs, Career fairs, University coursework related to career development, Searching professionals through social networks",5,5,5,5,1,5,5,5,5,Yes,English,Graduated,5,No response,No response,"I have some suggestion for that university
They have to work strengthly on quality of education, to eliminate cheating",Madda walabu University
Graduated,Bachelors degree,24-26,I have been a tech enthusiast from a very young age so I was following my dream since then,3.50,No,Other,Male,Internships,3,3,3,4,3,2,4,3,3,No,English,Graduated,4,"To enhance career development, universities should offer micro-internships, job shadowing, alumni mentorship, career panels, simulations, company visits, freelance projects, global internships, industry-in- residence programs, and career bootcamps.",No response,"several improvements can be suggested. These include diversifying service delivery methods, increasing engagement, providing targeted workshops and resources, and establishing robust feedback mechanisms.",Gondar University
Graduated,BSc,21-23,apparent experience,3.00,Yes,Other,Male,Job shadowing,1,3,1,4,2,3,5,2,4,Yes,English,Graduated,2,No response,No response,the university is very important for the world,Wachemo University
Graduated,BSc,21-23,"I just  asked my seniors about the current  situation of the market  and  once i got full information i made small research on that like asking industry experts , google things finally i  got my niche and i joined computer science  now  i am  software developer , i think that's my best decision ever in my life to join  CS and asking experts and seniors before making blind decision or just listening someone  fucking shit advice.",3.47,No,Other,Male,"InternshipsJob shadowing, Mentorship programs",1,2,4,5,2,4,2,1,1,No,English,Graduated,4,No response,No response,I don't have any experience on that i am just self learner  and  create networks  on LinkedIn  snd tech community,Jimma University
Graduated,BSc,21-23,It instills patience in me and teaches me the value of hard work.,3.60,No,Other,Female,"InternshipsJob shadowing, Mentorship programs, Career fairs, University coursework related to career development, Searching professionals through social networks",2,3,3,5,4,4,4,4,3,Yes,English,Graduated,4,"One effective approach is to host industry-specific workshops led by professionals, giving students hands-on experience in real-world applications of their studies. Job shadowing programs can also be beneficial, allowing students to observe professionals in their work environments and gain firsthand insights into daily tasks and workplace culture.","One effective approach is to host industry-specific workshops led by professionals, giving students hands-on experience in real-world applications of their studies. Job shadowing programs can also be beneficial, allowing students to observe professionals in their work environments and gain firsthand insights into daily tasks and workplace culture.","Regular workshops and seminars on resume writing, interview techniques, networking strategies, and industry-specific skills can further equip students for the job market, especially when industry professionals are invited to share their insights.",AAU
Graduated,BSc,21-23,My acadamic choice is by the society perception of that i will gain money afterward i graduate,3.40,Yes,Other,Female,InternshipsUniversity coursework related to career development,1,1,2,1,3,1,1,2,4,Yes,English,Graduated,4,Practical kNo responsewledge in specific industry,Practical knowledge in specific industry,The university carrer guidance should be based on the students passion,Salale University
Graduated,BSc,24-26,By using my time properly,3.80,No,Other,Male,University coursework related to career development,1,5,5,5,1,5,1,5,5,Yes,English,Graduated,1,No response,No response,Very gudie,Bonga Unveristy
Graduated,BSc,24-26,Experience,3.54,Yes,Other,Male,Internships,3,3,3,5,3,3,3,1,1,No,English,Graduated,1,No response,No response,Everything,Debermarkos University
Graduated,BSc,24-26,I am building good self-confidence,3.30,Yes,Other,Male,University coursework related to career development,3,3,3,3,3,3,3,3,3,Yes,English,Graduated,3,TechNo responselogy-assisted training,Technology-assisted training,They should speed up the development of technology,Samara University
Graduated,BSc,24-26,I am ready for this work,3.80,Yes,Other,Male,"InternshipsJob shadowing, Mentorship programs, Career fairs, University coursework related to career development, Searching professionals through social networks",2,4,1,3,5,4,4,5,5,Yes,English,Graduated,5,No response,No response,Computer lab,Rift Valley University
Graduated,BSc,24-26,I have gained a great experience from different people around me in software development ranging from my close friends to university teachers,3.70,Yes,Other,Male,"InternshipsJob shadowing, Career fairs, University coursework related to career development, Searching professionals through social networks",5,1,5,4,4,1,5,3,3,No,English,Graduated,4,No response,No response,They should provide the service regularly,BahirDar University
Graduated,BSc,24-26,It will totally changed my point of views. Because I tired so many times to meet with the peoples with the same passion with me. And this experience will let me to focus and achieve my dreams. I really need that kind of environment.,3.00,Yes,Other,Female,Internships,3,2,2,5,4,5,1,1,1,No,English,Graduated,4,If the universities provide one course related to such topic at the end of the year at graduating year of class.,No response,I wish if I got a chance on such training. But I recommended universities in Ethiopia have to do more on kind of this services. If they make an event on each semester's which including all department to participate.,Haramaya University
Graduated,BSc,24-26,No response,3.20,Yes,Other,Male,"InternshipsJob shadowing, Mentorship programs, Career fairs, University coursework related to career development, Searching professionals through social networks",3,1,1,5,5,5,4,3,3,No,English,Graduated,4,No response,No response,"Addis Ababa University invites various agents to participate in student career development programs and job fairs. After registering all graduating class students, these agents classify the students into different categories for their own purposes. Companies that hire students through these agents may not be paying the correct taxes to the government. The taxes deducted from employees' gross salaries are often paid to the agents, who benefit from this arrangement. Additionally, universities are not actively supervising agents during the student registration process or monitoring where they place students. The government is also neglecting to oversee agents and the labor conditions of students.

It is recommended that universities and the government take steps to address these issues. Agents should not be intermediaries for student employment. Companies should directly advertise job openings on their official websites and recruit students directly from universities. Moreover, university career development officers should prioritize student grades and academic records when selecting students for job placements, rather than relying on personal factors.

By implementing these changes, universities can ensure that students are treated fairly and that the government is receiving the appropriate taxes.",AAU
Graduated,BSc,24-26,They give me insight on how to develop my self and how to interact with the community or work environment,3.20,Yes,Other,Female,"InternshipsJob shadowing, Mentorship programs, Career fairs, University coursework related to career development",2,1,2,4,3,5,4,3,3,No,English,Graduated,3,I have No response suggestion,I have no suggestion,"Timing should be corrected, their schedule shouldn't affect academic activity",Hawassa University
Graduated,BSc,27 and above,I have a opportunity to see the world from different point of vew it help me to have the baste goal in life and my work,3.10,Yes,Other,Male,"InternshipsMentorship programs, University coursework related to career development",4,1,1,4,4,5,5,1,1,No,English,Graduated,4,It have to provide soft silk program,It have to provide soft silk program,To have a strong foundation support for students in career guidance for a bater skell to be need in any company to be selected and have job,Debre Birhan University
Graduated,BSc,27 and above,"It was my interest , I have been working in this field.",3.70,Yes,Other,Male,Internships,4,5,4,5,4,4,4,4,4,Yes,English,Graduated,4,No response,No response,Self thought is best thing that i recommend them.,Bule Hora University
Graduated,BSc's Bsc in Electrical and Computer Engineering(Stream of Computer Engineering),24-26,not much as i know most jobs are posted in computer Engineering/ Science or software Engineering positions,3.55,No,STEM,Male,Internships,1,5,1,4,1,2,1,2,1,No,English,Graduated,4,make trip fields to companies and factories.,No response,"to stop non-sense courses that we never ever going to use in our work life such as applied mathematics, instead make internship longer at least make it for 2 semesters and create opportunities that connect students directly to companies and factories.",AASTU
Graduated,Computer Science,21-23,I chose to study computer science by my own self,2.99,Yes,STEM,Female,University coursework related to career development,1,3,3,1,1,1,3,1,1,No,English,Graduated,3,No response,No response,I don't get University career guidance,Werabe University
Graduated,CS,21-23,Directly influenced me.,3.50,Yes,STEM,Male,"InternshipsUniversity coursework related to career development, Searching professionals through social networks",4,4,3,4,3,4,5,4,4,No,English,Graduated,4,No response,No response,They have to hear the students need directly from students themselves.,Dire Dawa University
Graduated,CS,21-23,I'm really passionate about technology starting from my childhood that's why I chose to learn Computer Science by the time I got in an undergraduate university program.,2.70,Yes,STEM,Male,Internships,1,1,3,1,1,1,1,2,2,No,English,Graduated,1,"Internships, Job shadowing, Mentorship",No response,I have no idea,St. Mary's  University
Graduated,CS,21-23,it really helps a lot,3.49,Yes,STEM,Male,"InternshipsMentorship programs, Career fairs, University coursework related to career development",5,4,2,4,4,3,5,4,4,No,Amharic,Graduated,4,more real life things that could apply to their future careers,No response,if they could be more organized,Wollo University
Graduated,CS,21-23,I've been made to rethink my skills and how I approach problems within the context of a job environment,3.60,Yes,STEM,Female,"InternshipsJob shadowing, Searching professionals through social networks",1,4,3,4,4,1,1,1,1,Yes,English,Graduated,3,"Mentorship, placements, partnerships","Mentorship, placements, partnerships",To be more in tune with the dynamic nature of the field,BahirDar University
Graduated,CS,21-23,my career  choice is influenced by my friend who has  a little bit nderstanding of programming,3.70,Yes,STEM,Male,Searching professionals through social networks,1,1,3,4,1,1,1,1,1,No,English,Graduated,4,creating community to create network,No response,if they gave carrer guidance with profesional or the one who succeeded in that career,Wolkite University
Graduated,CS,24-26,A PASSION TO DO WHAT EVER YOU WANT AND START A BUSINESS OUT OF IT.,4.00,Yes,STEM,Male,"InternshipsCareer fairs, Searching professionals through social networks",5,1,1,5,5,2,1,2,2,No,English,Graduated,5,INCREASE THE INTERNSHIP DURATION AND AFTER GRADUATION LINK TO INDUSTRY FIRMS.,INCREASE THE INTERNSHIP DURATION AND AFTER GRADUATION LINK TO INDUSTRY FIRMS.,THE COURSE WORK SHOULD BE UPDATED AND THE GUIDANCE SHOULD BE PROVIDED BY INDUSTRY PROFESSIONALS.,Admas University
Graduated,CS,24-26,Most of the time to decide,3.50,Yes,STEM,Female,Mentorship programs,5,4,3,5,4,5,4,4,4,No,Amharic,Graduated,5,No response,No response,Side by the student with the student with experience in the lesson,Admas University
Graduated,CS,24-26,Simply speaking I made my career choice solely based on my inner interests.,3.00,No,STEM,Male,Searching professionals through social networks,3,1,1,3,1,3,1,3,3,No,English,Graduated,3,Giving chances for students to visit real word situations before making their career choices.,Giving chances for students to visit real word situations before making their career choices.,They just have to give students an awareness on the criteria for making career  choices.,Werabe University
Graduated,CSE,21-23,"My experiences in various projects and internships have helped me explore diverse fields, shaping my academic interests and career direction. They provided practical skills, exposed me to real-world challenges, and guided me toward a focus on areas where technology can have a meaningful impact, like healthcare and AI research.",3.20,Yes,STEM,Male,Internships,3,3,3,4,3,3,4,4,4,No,English,Graduated,4,"To better support students' career development, the university could offer:

Industry-Specific Bootcamps: Intensive, hands-on training in emerging techNo responselogies and fields.

Job Shadowing Programs: Allowing students to observe professionals in their work environments.

Hackathons and Competitions: Encouraging inNo responsevation and real-world problem-solving.

International Internships: Providing global exposure and diverse work experiences.Work-Integrated Learning: 
Incorporating real-world projects into academic courses for practical learning.","To better support students' career development, the university could offer:

Industry-Specific Bootcamps: Intensive, hands-on training in emerging technologies and fields.

Job Shadowing Programs: Allowing students to observe professionals in their work environments.

Hackathons and Competitions: Encouraging innovation and real-world problem-solving.

International Internships: Providing global exposure and diverse work experiences.Work-Integrated Learning: 
Incorporating real-world projects into academic courses for practical learning.","I would suggest the following improvements for the university’s career guidance services:

1. Industry-Specific Mentorship: Offering personalized mentorship programs tailored to different industries.
2. Networking Opportunities: Organizing more events with alumni and professionals for networking.
3. Internship Support: Expanding assistance in securing internships through stronger partnerships with companies.
4. Soft Skills Training: Incorporating workshops on communication, leadership, and job interview techniques.
5. Career Path Exploration: Providing resources to help students explore various career paths earlier in their academic journey.",AASTU
Graduated,CSE,24-26,Develop My career,3.60,Yes,STEM,Male,InternshipsUniversity coursework related to career development,3,2,3,4,3,3,4,4,4,Yes,English,Graduated,4,Working on the development their career,Working on the development their career,I believe instead of more focusing in theory they should focus on the practical.,ASTU
Graduated,CSE,24-26,I'VE GAINED IMPORTANT PERSPECTIVES IN THESE PROGRAMS.,3.90,Yes,STEM,Male,University coursework related to career development,4,4,4,4,4,4,4,4,4,No,English,Graduated,4,OTHER FORMS OF PRACTICAL LEARNING AND FREE ONLINE COURSES FROM SITES LIKE UDEMY.,No response,I THINK THEY SHOULD BE MORE ENGAGING.,Jimma University
Graduated,CSE,24-26,"No responset much influence, but I used my experiences and above mentioned parameters into my decision making",3.00,No,STEM,Male,Internships,2,3,3,2,3,1,3,2,2,No,English,Graduated,3,Inviting role-models,Inviting role-models,"Try to assess the level of understanding of the students about careers and jobs, it helps significantly",ASTU
Graduated,CSE,24-26,passion,3.80,No,STEM,Male,InternshipsCareer fairs,1,2,2,5,1,2,1,1,1,No,English,Graduated,2,No response,No response,i have never used that,Hawassa University
Graduated,CSE,27 and above,To be organisational and professional.,2.60,Yes,STEM,Male,"InternshipsCareer fairs, University coursework related to career development, Searching professionals through social networks",3,1,1,5,4,5,4,4,5,No,English,Graduated,5,No response,No response,More programs.,Mekelle University
Graduated,Degree,27 and above,exremely,2.56,Yes,Other,Male,Internships,1,1,1,3,1,1,1,3,3,Yes,English,Graduated,1,No response,No response,good,Debre Birhan University
Graduated,ECE,24-26,"Basically I did not select my program based on my exprience, I was selected it because of I am passianoted about computer program",3.58,No,Other,Male,"InternshipsUniversity coursework related to career development, Searching professionals through social networks",3,1,1,5,5,5,4,1,1,No,English,Graduated,4,Rather than focusing on theoroticall part it is better to support students to partice the real world job or challenges,No response,"",ASTU
